"filename", "language", "jsonc", "XMake", "YAML", "comment", "blank", "total"
"/home/eden/CollegeLearningRepo/DS_CurriculumDesign/SortAlgoCmp/.clang-format", "YAML", 0, 0, 175, 1, 1, 177
"/home/eden/CollegeLearningRepo/DS_CurriculumDesign/SortAlgoCmp/SortAlgoCmp.code-workspace", "jsonc", 8, 0, 0, 0, 0, 8
"/home/eden/CollegeLearningRepo/DS_CurriculumDesign/SortAlgoCmp/xmake.lua", "XMake", 0, 8, 0, 68, 4, 80
"Total", "-", 8, 8, 175, 69, 5, 265
