"filename", "language", "jsonc", "YAML", "XMake", "comment", "blank", "total"
"/home/eden/CollegeLearningRepo/DS_CurriculumDesign/SortAlgoCmp/.clang-format", "YAML", 0, 176, 0, 0, 1, 177
"/home/eden/CollegeLearningRepo/DS_CurriculumDesign/SortAlgoCmp/SortAlgoCmp.code-workspace", "jsonc", 8, 0, 0, 0, 0, 8
"/home/eden/CollegeLearningRepo/DS_CurriculumDesign/SortAlgoCmp/xmake.lua", "XMake", 0, 0, 76, 0, 4, 80
"Total", "-", 8, 176, 76, 0, 5, 265
